guid,verb,verb_hiragana,verb_romaji,verb_1,verb_1_hiragana,verb_1_romaji,verb_2,verb_2_hiragana,verb_2_romaji,transitivity,pattern,meaning,meaning_en,meaning_ko,nlb_link,structure
o>@]sjG~>x,過ぎ去る,すぎさる,sugisaru,過ぎる,すぎる,sugiru,去る,さる,saru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>通り過ぎて、どこかへ行ってしまう。</p><ul><li><p>楽しかった時間が過ぎ去ってしまった。 (Tanoshikatta jikan ga sugisatte shimatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To pass by and go away somewhere.</p><ul><li><p>Those happy times flew by.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>지나서, 어딘가로 가버리다.</p><ul><li><p>즐거웠던 시간이 지나가 버렸다.</p></li></ul></li></ol>",V.02981,VV
c~f;s#[=XU,透き通る,すきとおる,sukitooru,透く,すく,suku,通る,とおる,tooru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>向こうまで透いて見える。</p><ul><li><p>川の水が透き通っている。 (Kawa no mizu ga sukitōtte iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To be transparent so that one can see to the other side.</p><ul><li><p>The river water is transparent.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>저편까지 비쳐 보이다.</p><ul><li><p>강물이 투명하다.</p></li></ul></li></ol>",V.02935,Vs
x*Q%s]4<_k,掬いあげる,すくいあげる,sukuiageru,掬う,すくう,sukuu,上げる,あげる,ageru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すくって、上へ上げる。</p><ul><li><p>少女が金魚を手で掬いあげた。 (Shōjo ga kingyo o te de sukuiageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To scoop and lift up.</p><ul><li><p>The little girl scooped the goldfish up with her hands.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>건져서, 위로 올리다.</p><ul><li><p>소녀가 금붕어를 손으로 건져 올렸다.</p></li></ul></li></ol>",V.08095,VV
A&A:XQxrB5,救い上げる,すくいあげる,sukuiageru,救う,すくう,sukuu,上げる,あげる,ageru,他,N1ガ|N2ヲ|N3カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すくって、上に上げる。</p><ul><li><p>消防士は子供を川から救い上げた。 (Shōbōshi wa kodomo o kawa kara sukuiageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To scoop up.</p><ul><li><p>The firefighters rescued the child from the river.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>구해서, 위로 올리다.</p><ul><li><p>소방관은 어린이를 강에서 구해냈다.</p></li></ul></li></ol>",V.08095,VV
ICr.;FHd)s,掬い入れる,すくいいれる,sukuiireru,掬う,すくう,sukuu,入れる,いれる,ireru,他,N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すくって、中に入れる。</p><ul><li><p>少年は魚をバケツに掬い入れた。 (Shōnen wa sakana o baketsu ni sukuiireta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To scoop and put inside.</p><ul><li><p>The boy scooped the fish into the bucket.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>건져서, 안으로 넣다.</p><ul><li><p>소년은 물고기를 양동이에 건져 넣었다.</p></li></ul></li></ol>",V.22116,VV
jQ0]defL[$,掬い出す,すくいだす,sukuidasu,掬う,すくう,sukuu,出す,だす,dasu,他,N1ガ|N2ヲ|N3カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すくって、中から外へ出す。</p><ul><li><p>彼は落ち葉を池から掬い出した。 (Kare wa ochiba o ike kara sukuidashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To scoop from the inside to the outside.</p><ul><li><p>They dredged the dead leaves out of the pond.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>건져서, 안에서 밖으로 내다.</p><ul><li><p>그 남자는 낙엽을 연못에서 건져 내었다.</p></li></ul></li></ol>",V.04313,VV
tj>z1j[KS#,救い出す,すくいだす,sukuidasu,救う,すくう,sukuu,出す,だす,dasu,他,N1ガ|N2ヲ|N3カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>危険な状況から助け出す。</p><ul><li><p>彼らは住人を火事から救い出した。 (Karera wa jūnin o kaji kara sukuidashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To rescue from a dangerous situation.</p><ul><li><p>They delivered the residents from the fire.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>위험한 상황에서 구해 내다.</p><ul><li><p>그들은 주인을 화재에서 구해냈다.</p></li></ul></li></ol>",V.04313,VV
yg1j)<nT4o,掬い取る,すくいとる,sukuitoru,掬う,すくう,sukuu,取る,とる,toru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すくって、取る。</p><ul><li><p>彼女は灰汁を掬い取った。 (Kanojo wa aku o sukuitotta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To scoop and take.</p><ul><li><p>She scooped the bitter scum out of the broth.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>떠서, 없애다.</p><ul><li><p>그 여자는 떫은 맛을 빼냈다.</p></li></ul></li></ol>",V.09733,VV
gk8A7VlfTc,すくみ上がる,すくみあがる,sukumiagaru,すくむ,すくむ,sukumu,上がる,あがる,agaru,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>恐ろしさで、身体がすくんで動けなくなる。</p><ul><li><p>子供たちは先生の怖い顔にすくみ上がった。 (Kodomotachi wa sensei no kowai kao ni sukumiagatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To be so frightened that one's body becomes stiff and cannot move.</p><ul><li><p>The children were scared stiff at the sight of their teacher's angry face.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>두려움으로, 몸이 굳어 움직이지 못하게 되다.</p><ul><li><p>아이들은 선생님의 무서운 얼굴에 얼어버렸다.</p></li></ul></li></ol>",V.08562,Vs
P#);DRX}AN,すげ替える,すげかえる,sugekaeru,すげる,すげる,sugeru,替える,かえる,kaeru,他,N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（ゲタの鼻緒や人形の首など、すげてあるものを）別のものに取り替える。</p><ul><li><p>彼らは社長を別の人にすげ替えた。 (Karera wa shachō o betsu no hito ni sugekaeta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(Of the thong of a wooden clog or a doll head that is fixed on) To exchange for another.</p><ul><li><p>They swapped one company president for another.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(일본신의 끈이나 인형의 목 등 꿰어져 있는 것을) 다른 것으로 교환하다.</p><ul><li><p>그들은 사장을 다른 사람으로 교체했다.</p></li></ul></li></ol>",V.09354,VV
r-7-Ry.(<L,すげ替わる,すげかわる,sugekawaru,すげる,すげる,sugeru,替わる,かわる,kawaru,他,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（ゲタの鼻緒や人形の首など、すげてあるものが）別のものに替わる。</p><ul><li><p>人形の顔がすげ替わった。 (Ningyō no kao ga sugekawatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(For the thong of a wooden clog or doll head that is fixed on) To be exchanged for another.</p><ul><li><p>The doll has a new face!</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(일본신의 끈이나 인형의 목 등 꿰어져 있는 것이) 다른 것으로 바뀌다.</p><ul><li><p>인형 얼굴이 바뀌었다.</p></li></ul></li></ol>",,VV
pcMF7iSY@w,進み入る,すすみいる,susumiiru,進む,すすむ,susumu,入る,いる,iru,自,N1ガ|N2ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>前に進んで入る。</p><ul><li><p>彼は校長先生の前に進み入った。 (Kare wa kōchō sensei no mae ni susumiitta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To move forward and enter.</p><ul><li><p>He stepped toward the school principal.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>앞으로 나아가 들어가다.</p><ul><li><p>그는 교장 선생님 앞으로 나아갔다.</p></li></ul></li></ol>",V.18777,VV
Mb~F7[Hk%M,進み出る,すすみでる,susumideru,進む,すすむ,susumu,出る,でる,deru,自（意志）,N1ガ|N2ニ/ヘ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>前へ進んで、出る。</p><ul><li><p>彼女は舞台に進み出た。 (Kanojo wa butai ni susumideta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To move forward and out.</p><ul><li><p>She stepped forward, onto the stage.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>앞으로 나아가서 나가다.</p><ul><li><p>그녀는 무대로 나섰다.</p></li></ul></li></ol>",V.03340,VV
w5`g>G8&v|,すすり上げる,すすりあげる,susuriageru,すする,すする,susuru,上げる,あげる,ageru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>息を吸って（出てくる鼻水を）鼻の中に入れる。</p><ul><li><p>彼女はすすり上げた。 (Kanojo wa susuriageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To take a breath and put back into the nose (that which is dripping out).</p><ul><li><p>She snorted up her nasal drip.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>숨을 들이 쉬어 (나오는 콧물을) 코 속으로 넣다.</p><ul><li><p>그 여자는 콧물을 훌쩍거렸다.</p></li></ul></li></ol>",V.08309,Vs
x<wBK`C8T.,すすり込む,すすりこむ,susurikomu,すする,すする,susuru,込む,こむ,komu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>音を立てて吸い込む。</p><ul><li><p>彼女は鼻水をすすり込んだ。 (Kanojo wa hanamizu o susurikonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To suck in noisily.</p><ul><li><p>She snorted her nasal drip back up.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>소리를 내어 들이마시다.</p><ul><li><p>그 여자는 콧물을 훌쩍 들이마셨다.</p></li></ul></li></ol>",V.10001,VV
iu9JE7onp#,すすり泣く,すすりなく,susurinaku,すする,すする,susuru,泣く,なく,naku,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>鼻水をすすりあげるようにして泣く。</p><ul><li><p>その女性はすすり泣いていた。 (Sono josei wa susurinaite ita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To cry by sniffling through the nose.</p><ul><li><p>That woman was sniveling and crying.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>콧물을 훌쩍거리듯 울다.</p><ul><li><p>그 여자는 훌쩍이며 울고 있었다.</p></li></ul></li></ol>",V.05011,VV
dOFT6PQr=O,捨て置く,すておく,suteoku,捨てる,すてる,suteru,置く,おく,oku,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>放っておく。</p><ul><li><p>先生は騒いでいる生徒たちを捨て置いた。 (Sensei wa sawaide iru seitotachi o suteoita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To leave (as it is). To ignore.</p><ul><li><p>The teacher let his pupils go wild.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>내버려두다.</p><ul><li><p>선생님은 떠들고 있는 학생들을 내버려 두었다.</p></li></ul></li></ol>",V.07193,Vs
"C,-<fmdaS?",捨て去る,すてさる,sutesaru,捨てる,すてる,suteru,去る,さる,saru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>完全に捨ててしまう。</p><ul><li><p>彼は要らないものを捨て去った。 (Kare wa iranai mono o sutesatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To discard completely.</p><ul><li><p>He threw away the things he didn't need.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 버려 버렸다.</p><ul><li><p>그 남자는 필요없는 것을 깨끗이 내버렸다.</p></li></ul></li></ol>",V.04597,Vs
It%M`eUlhg,滑り入る,すべりいる,suberiiru,滑る,すべる,suberu,入る,いる,iru,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>滑るようにして入る。</p><ul><li><p>彼は教室に滑り入った。 (Kare wa kyōshitsu ni suberiitta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To enter as if by sliding.</p><ul><li><p>He slid into the classroom.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>미끄러지듯이 들어가다.</p><ul><li><p>그 남자는 교실에 미끄러지듯이 들어갔다.</p></li></ul></li></ol>",V.18784,VV
Io4h-R@iW|,滑り落ちる,すべりおちる,suberiochiru,滑る,すべる,suberu,落ちる,おちる,ochiru,自,N1ガ|N2カラ：N1が|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>滑って落ちる。</p><ul><li><p>彼は崖から滑り落ちた。 (Kare wa gake kara suberiochita.)</p></li><li><p>彼は斜面を滑り落ちた。 (Kare wa shamen o suberiochita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To slide and fall.</p><ul><li><p>He slid off the precipice.</p></li><li><p>He slid down the slope.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>미끄러져 떨어지다.</p><ul><li><p>그는 벼랑에서 미끄러져 떨어졌다.</p></li><li><p>그 남자는 사면을 미끄러져 떨어졌다.</p></li></ul></li></ol>",V.04400,VV
yFsP[-N&y],滑り落とす,すべりおとす,suberiotosu,滑る,すべる,suberu,落とす,おとす,otosu,他,N1ガ|N2カラ|N3ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>滑り落ちるようにする。</p><ul><li><p>彼らは屋根から雪を滑り落とした。 (Karera wa yane kara yuki o suberiotoshita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To cause to slide and fall.</p><ul><li><p>They slid the snow off the roof.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>미끄러져 떨어지도록 하다.</p><ul><li><p>그들은 지붕에서 눈을 미끄려뜨렸다.</p></li></ul></li></ol>",V.14243,VV
k-8hze&QdL,滑り降りる,すべりおりる,suberioriru,滑る,すべる,suberu,降りる,おりる,oriru,自,N1ガ|N2カラ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>滑って降りる。</p><ul><li><p>彼らは山からスキーで滑り降りた。 (Karera wa yama kara sukii de suberiorita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To slide down.</p><ul><li><p>They slid down the mountain on skis.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>미끄러져 내려오다.</p><ul><li><p>그들은 산에서 스키를 타고 내려왔다.</p></li></ul></li></ol>",V.07424,VV
"ecuCOV,*n~",滑り込む,すべりこむ,suberikomu,滑る,すべる,suberu,込む,こむ,komu,自,(1)N1ガ|N2ニ；(2)N1ガ|N2ニ；(3)N1ガ|N2ニ,"<ol style=""""><li><p>滑って（滑るようにそっと）入る。</p><ul><li><p>彼は教室に滑り込んだ。 (Kare wa kyōshitsu ni suberikonda.)</p></li></ul></li><li><p>野球で、滑って塁に出る。</p><ul><li><p>彼は一塁に滑り込んだ。 (Kare wa ichirui ni suberikonda.)</p></li></ul></li><li><p>期限などにぎりぎりで間に合う。</p><ul><li><p>彼はビザ申請にぎりぎり滑り込んだ。 (Kare wa biza shinsei ni girigiri suberikonda.)</p></li></ul></li></ol>","<ol style=""""><li><p>To enter by sliding (softly, as if by sliding).</p><ul><li><p>He slipped into the classroom.</p></li></ul></li><li><p>In baseball, to slide onto a base.</p><ul><li><p>He slid into first base.</p></li></ul></li><li><p>To meet deadlines by a tiny margin.</p><ul><li><p>He just barely got his visa application in on time.</p></li></ul></li></ol>","<ol style=""""><li><p>미끄러져 (미끄러지듯 조용히) 들어가다.</p><ul><li><p>그 남자는 교실로 조용히 들어갔다.</p></li></ul></li><li><p>야구에서 미끄러져 출루하다.</p><ul><li><p>그는 1루로 슬라이딩 했다.</p></li></ul></li><li><p>기한 등에 빠듯하게 대다.</p><ul><li><p>그 남자는 비자 신청 기한에 겨우 맞췄다.</p></li></ul></li></ol>",V.02550,VV
"u,?-j@9})N",滑り出る,すべりでる,suberideru,滑る,すべる,suberu,出る,でる,deru,自,N1ガ|N2カラ：N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>滑って、出る。</p><ul><li><p>封筒からお金が滑り出た。 (Fūtō kara okane ga suberideta.)</p></li><li><p>スケート選手が氷上に滑り出た。 (Sukēto senshu ga hikami ni suberideta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To slide out.</p><ul><li><p>The money slid out of the envelope.</p></li><li><p>The skater skated out onto the ice.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>미끄러져 나오다.</p><ul><li><p>봉투에서 돈이 빠져 나왔다.</p></li><li><p>스케이트 선수가 빙판 위로 활주해 나왔다.</p></li></ul></li></ol>",V.08311,VV
Bwf~`^*JiP,澄み上がる,すみあがる,sumiagaru,澄む,すむ,sumu,上がる,あがる,agaru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>すっかり澄む。</p><ul><li><p>湖が澄み上がっている。 (Mizūmi ga sumiagatte iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To become completely clear.</p><ul><li><p>The lake is completely clear.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>완전히 맑아지다.</p><ul><li><p>호수가 맑아졌다.</p></li></ul></li></ol>",,Vs
mMMxO>#8V6,住み荒らす,すみあらす,sumiarasu,住む,すむ,sumu,荒らす,あらす,arasu,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>長く住んで、荒らす（汚したり破損したりする）。</p><ul><li><p>彼らは家を住み荒らした。 (Karera wa ie o sumiarashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To live in a place for a long time and trash it (make dirty or damage it).</p><ul><li><p>They trashed their house.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>오래 살아서, 훼손하다 (더럽히거나 파손하거나 하다).</p><ul><li><p>그들은 오래 살아 집을 훼손시켰다.</p></li></ul></li></ol>",,VV
m-!p`f3aE$,住み替える,すみかえる,sumikaeru,住む,すむ,sumu,替える,かえる,kaeru,他,N1ガ|N2ヲ|N3カラ|N4ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>住み家を替える。</p><ul><li><p>彼は家をマンションから一戸建てに住み替えた。 (Kare wa ie o manshon kara ikkodate ni sumikaeta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To change one's residence.</p><ul><li><p>He moved from a condominium to a single-family house.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>살 집을 바꾸다.</p><ul><li><p>그 남자는 집을 아파트에서 단독 주택으로 옮겼다.</p></li></ul></li></ol>",V.10002,VV
wqT|/tx]C,澄み切る,すみきる,sumikiru,澄む,すむ,sumu,切る,きる,kiru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>一点のくもりもなく完全に澄んでいる。</p><ul><li><p>川の水が澄み切っている。 (Kawa no mizu ga sumikitte iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To be completely clear, without even one blemish.</p><ul><li><p>The water is completely pure.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>한점 흐림도 없이 완전히 맑게 개다.</p><ul><li><p>강물이 완전히 맑다.</p></li></ul></li></ol>",V.04527,Vs
iAX2`bp$s$,住み込む,すみこむ,sumikomu,住む,すむ,sumu,込む,こむ,komu,自（意志）,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>仕事や修行のために、雇い主や親方の家に住み着く。</p><ul><li><p>彼は職場に住み込んだ。 (Kare wa shokuba ni sumikonda.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To move into an employer or master's house for a job or apprenticeship.</p><ul><li><p>He moved into his workplace.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>일이나 수행을 위해 고용주나 스승의 집에 자리잡고 살다.</p><ul><li><p>그는 직장에 들어가 살았다.</p></li></ul></li></ol>",V.06046,Vs
AJU&hZgv.U,住み付く,すみつく,sumitsuku,住む,すむ,sumu,付く,つく,tsuku,自（意志）,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>住み家と定めて落ち着く。居着く。</p><ul><li><p>鳩が私の家に住み付いた。 (Hato ga watashi no ie ni sumitsuita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To select a dwelling and settle down. To squat.</p><ul><li><p>Some pigeons have settled into my home.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>살 집으로 정하고 자리잡다. 눌러 살다.</p><ul><li><p>비둘기가 우리 집에 자리잡았다.</p></li></ul></li></ol>",V.02505,Vs
Q27=?QzMX#,住み慣れる,すみなれる,suminareru,住む,すむ,sumu,慣れる,なれる,nareru,自,N1ガ|N2ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>長年住んで、その場所に馴染む。</p><ul><li><p>私はこの家に住み慣れている。 (Watashi wa kono ie ni suminarete iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To live in a place for a long time and become accustomed to it.</p><ul><li><p>I am used to living in this house.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>오랫동안 살아서, 그 장소에 익숙하다.</p><ul><li><p>나는 이 집에 정들었다.</p></li></ul></li></ol>",V.04755,Vs
zOLI?+wPZ],澄み渡る,すみわたる,sumiwataru,澄む,すむ,sumu,渡る,わたる,wataru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>（空や水が）すみずみまで澄んでいる。</p><ul><li><p>空が澄み渡っている。 (Sora ga sumiwatatte iru.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(Of air or water) for the whole expanse to be pure.</p><ul><li><p>The sky is clear for as far as the eye can see.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>(하늘이나 물이) 구석구석까지 맑다.</p><ul><li><p>하늘이 청명하다.</p></li></ul></li></ol>",V.06763,Vs
ka<yj]:aBP,刷り上がる,すりあがる,suriagaru,刷る,する,suru,上がる,あがる,agaru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>印刷ができあがる。</p><ul><li><p>本が刷り上がった。 (Hon ga suriagatta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>For printing to be finished.</p><ul><li><p>The printing of the book is finished.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>인쇄가 끝나다.</p><ul><li><p>책이 인쇄가 다 되었다.</p></li></ul></li></ol>",V.11081,Vs
AV@X/aXdYb,ずり上がる,ずりあがる,zuriagaru,ずる,ずる,zuru,上がる,あがる,agaru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>ずりながら、少しずつ上へ上がる。</p><ul><li><p>役者がずり上がっていった。 (Yakusha ga zuriagatte itta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To move upwards little by little while dragging.</p><ul><li><p>The actors crept upward.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>끌면서, 조금씩 위로 오르다.</p><ul><li><p>배우가 기어 올라 갔다.</p></li></ul></li></ol>",V.11772,VV
c$L_8|}h<4,刷り上げる,すりあげる,suriageru,刷る,する,suru,上げる,あげる,ageru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>印刷をしあげる。</p><ul><li><p>彼は本を刷り上げた。 (Kare wa hon o suriageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To finish printing.</p><ul><li><p>He finished printing the book.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>인쇄를 끝내다.</p><ul><li><p>그는 책 인쇄를 끝냈다.</p></li></ul></li></ol>",V.17055,Vs
GAwaU42Ax,ずり上げる,ずりあげる,zuriageru,ずる,ずる,zuru,上げる,あげる,ageru,他,N1ガ|N2ヲ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>ずり上がるようにする。ずらせながら上げる。</p><ul><li><p>彼はズボンをずりあげた。 (Kare wa zubon o zuriageta.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To make to slide up. To slide something up.</p><ul><li><p>He pulled up his trousers.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>위로 올라가도록 하다. 끌면서 올리다.</p><ul><li><p>그 남자는 바지를 끌어 올렸다.</p></li></ul></li></ol>",V.10858,VV
"E@?mz,r$^N",摺り入れる,すりいれる,suriireru,摺る,する,suru,入れる,いれる,ireru,他,N1ガ|N2ヲ|N3ニ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>料理などで、材料を細かく摺って入れる。</p><ul><li><p>私はしょうがを皿に摺り入れました。 (Watashi wa shōga o sara ni nasuriiremashita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>In cooking, to grate an ingredient finely and put it in.</p><ul><li><p>I grated some ginger into the dish.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>요리 등에서 재료를 잘게 으깨어 넣다.</p><ul><li><p>나는 생강을 접시에 으깨 넣었습니다.</p></li></ul></li></ol>",V.18791,VV
tFvZ}Ka$C`,ずり落ちる,ずりおちる,zuriochiru,ずる,ずる,zuru,落ちる,おちる,ochiru,自,N1ガ,"<ol style=""list-style-type: none; padding-left: 0;""><li><p>ずって落ちる。</p><ul><li><p>ズボンがずり落ちた。 (Zubon ga zuriochita.)</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>To drag down and fall off.</p><ul><li><p>My trousers have fallen down.</p></li></ul></li></ol>","<ol style=""list-style-type: none; padding-left: 0;""><li><p>흘러 내리다.</p><ul><li><p>바지가 흘러 내렸다.</p></li></ul></li></ol>",V.06011,VV
